"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19";"V20";"V21";"V22";"V23";"V24";"V25";"V26";"V27";"V28";"V29";"V30";"V31";"V32";"V33";"V34";"V35";"V36";"V37";"V38";"V39";"V40";"V41";"V42";"V43";"V44";"V45";"V46";"V47";"V48";"V49";"V50";"V51";"V52";"V53";"V54";"V55";"V56";"V57";"V58";"V59";"V60";"V61";"V62";"V63"
"1";2,49;10,36;1,42;0,01;0,4;1,3;208,28;42,89;93;100,88;0,76;3,16;4,16;8,9;75,99;8,52;1,54;14958,58;23,06;3,67;44,49;-5,37;-52,21;-6,32;0,01;0,17;0,75;427,95;45,75;248,26;171,6;0,9;8,72;9,72;-0,12;89,71;-5,03;0,65;NA;29,22;6,17;186,93;0,39;3,99;0,4;0;0,26;0,75;372,85;69,78;248,79;137,73;0,9;9,25;10,25;5,22;90,24;3,95;0,59;16423,15;21,28;4,93;46,38
"2";-363,2;31,16;-509,9;0;0,03;0,06;511,02;216,1;6310,51;169;12,66;-1,09;-0,09;-304,67;1265,64;-27,64;-48,69;NA;0;82,17;-56,98;-8,56;0,66;NA;0;0,03;0,06;NA;NA;NA;NA;13,9;-1,08;-0,08;-8,31;1390,33;-0,14;-65,54;NA;0;NA;-27,79;13,04;-0,97;2622,75;0;0,03;0,06;73414,45;34131,02;1046331,92;28023,31;14,45;-1,07;-0,07;13,04;1445,03;1,26;-86,65;NA;0;0;0
"3";1,61;-71,75;12,39;0;0;0;2805,21;5,46;1672;NA;1,02;-45,61;-44,61;1,61;102,24;1,57;-0,02;NA;0;0;0;-1,1;32,87;NA;-0,01;0,01;0,01;NA;NA;NA;NA;1,03;-30,96;-29,96;-1,1;103,34;-1,06;0,49;NA;0;NA;0;4,86;291,21;110,28;0,36;0,55;0,55;8285,07;124,65;677,19;0;0,98;58,94;59,94;4,86;98,33;4,94;0,96;NA;0;0;0
"4";-14,75;151,2;-7,99;0,02;0,17;0,61;197,21;28,69;187,23;83,64;1,09;-11,14;-10,25;13,37;109,75;-9,97;-0,21;NA;1,15;15,23;137,31;0,05;36,55;0,03;0,02;0,34;0,74;256,55;71,95;230,02;94,5;0,99;789,35;795,03;18,57;99,87;2,52;0,17;NA;0,07;13,06;86,69;-219,35;88,79;-52,76;0,02;0,02;0,12;87,8;1,69;218,64;22,37;3,47;-1,4;-0,4;-154,81;347,04;-59,23;-3,49;NA;19,46;15,52;-93,37
"5";0,59;28,31;0,37;0,01;0,62;1,02;232,01;131,3;212,06;87,32;0,98;47,16;48,19;13,69;97,92;1,93;1,29;9890,6;3,22;8,35;81,59;2,22;46,85;1,15;0,07;0,35;1,1;189,38;45,9;158,33;123,05;0,95;20,12;21,14;25,28;95,27;5,88;2,91;NA;7,21;12;76,03;-35,89;128,06;-18,89;0,02;0,1;0,79;192,16;17,77;216,79;156,65;1,28;-4,56;-3,57;-9,34;128,03;-23,76;-2,86;NA;8,22;13,98;-384,03
"6";14,08;139,48;9,88;0,02;0,69;0,82;255,39;143,95;193,86;26,84;0,9;8,88;9,9;26,18;89,9;20,61;0,47;NA;11,46;8,49;35,59;1,06;12,84;0,78;0,07;0,88;0,89;269,37;193,53;209,52;1,56;0,92;11,15;12,15;11,54;91,77;4,33;0,48;NA;12,15;7,76;59,92;-298,35;98,84;NA;0;0,07;0,07;NA;NA;NA;NA;4,02;-1,33;-0,33;-277,98;401,87;-72,22;-4,24;NA;55,24;NA;-9,23
"7";-36,01;51,78;-6,48;0,15;0,15;0,5;65,52;0,08;92,58;33,24;1,69;-2,43;-1,44;45,18;169,54;-6,67;-1,6;NA;0;14,61;99,53;-110,95;45,36;-16,15;0,1;0,17;0,28;52,97;11,42;168,16;19,91;3,44;-1,4;-0,41;-6,38;344,62;-22,39;-12,04;NA;0;15,22;278,63;-66,29;14,88;-17,54;0,09;0,09;0,18;96,58;0,69;510,79;47,48;5,45;-1,22;-0,22;21,09;545,66;-6,93;NA;NA;0;23,12;760,16
"8";-1,05;-11,71;-2,31;0,03;1,27;1,29;803,42;303,03;242,53;3,48;0,91;10,17;11,17;1,86;91,05;13,13;0,95;NA;24,41;6,41;143,37;4,18;49,47;3,59;0,01;0,89;0,89;312,61;194,45;218,24;0,04;0,92;10,83;11,83;10,38;91,54;11,99;0,98;NA;9,61;5,32;82,29;5,6;-27,12;3,61;0,11;0,72;0,83;235,76;160,69;260,92;30,8;1,21;-5,85;-4,85;15,89;120,63;20,73;-4,44;85381;1,61;6,65;93,33
"9";-1,45;0,75;NA;0;0,42;0,42;NA;NA;NA;NA;2,93;-1,52;-0,52;0;292,6;-0,5;242,82;NA;135,33;NA;NA;0;0;NA;0;0,42;0,42;NA;NA;NA;NA;2,93;-1,52;-0,52;0;292,6;0;242,82;NA;135,33;NA;NA;NA;0;NA;NA;0;NA;NA;NA;NA;NA;NA;-1;0;NA;NA;0;NA;NA;NA;NA;NA
"10";0,93;12,4;0,3;0,08;0,24;0,9;119,07;17,23;107,29;71,7;0,93;12,4;13,4;24,67;92,54;6,73;0,43;NA;0;7,77;70,05;-0,06;-0,74;-0,02;0,05;0,19;1;111,64;12,64;93,52;77;0,91;10,62;11,62;26,13;91,39;6,36;0,93;NA;0;8,03;76,2;-19,17;208,64;-6,29;0,09;0,22;0,85;119,87;15,38;123,85;79,02;1,09;-11,89;-10,89;9,3;109,19;-11,32;-0,62;7465,33;0;9,35;159,72
"11";0,3;0,95;0,1;0,05;1,13;1,77;121,96;71,95;66,43;42,74;0,68;2,16;3,16;22,76;68,31;2,19;13,77;9657,88;0;7,53;88,05;-140,99;492,62;-12,77;0,05;0,68;0,75;32,97;23,37;36,65;2,49;1,28;-4,48;-3,49;61,9;128,62;-102,21;-1,85;1512,85;0;18,38;392,1;-972,37;67,04;3953,48;0;0,07;0,07;-1484,03;-1444,18;-19790,59;NA;15,51;-1,07;-0,07;-967,21;1550,51;-62,71;NA;NA;0;-20,96;-1,63
"12";-0,89;-5,89;-0,68;0,14;0,66;0,87;275,8;107,08;151,77;44,58;0,85;5,6;6,6;16,89;84,86;4,76;0,69;NA;22,67;13,48;71,47;-9,87;194,5;-7,07;0;0,38;0,63;260,96;88,8;173,21;62,61;1,05;-20,71;-19,72;14,94;105,07;-3,39;0;NA;32,5;17,78;105,98;-135,65;84,56;-167,44;0,01;0,17;0,24;450,54;183,17;1143,65;80,33;2,6;-1,62;-0,62;-120,02;260,42;-49,76;-4,58;NA;0;19,3;-18,31
